day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-04-12,0
2013-06-01,0
2013-07-21,0
2013-09-09,0
2013-10-29,0
2013-12-18,0
2014-02-06,0
2014-03-28,0
2014-05-17,0
2014-07-06,0
2014-08-25,0
2014-12-02,0
2014-12-04,1
2015-02-22,1
2015-03-14,0
2015-05-25,1
2015-08-09,0
2015-09-29,85
2015-10-22,6638
2015-11-25,21
2016-02-21,5732
2016-03-02,2395
2016-04-24,3390
2016-06-08,765
2016-08-10,4971
2016-09-26,406
2016-11-06,4434
2016-12-24,2717
2017-02-17,863
2017-04-23,5014
2017-07-01,9042
2017-08-15,1967
2017-09-24,6032
2017-10-20,743
2017-12-10,4546
2018-03-14,861
2018-03-31,7019
2018-06-04,4211
2018-07-11,10356
2018-08-21,5498
2018-11-23,15662
2018-12-04,5605
2019-01-31,8712
2019-04-10,12984
2019-04-24,7409
2019-07-19,26832
2019-08-02,12082
