day,usage
2013-01-01,156
2013-01-06,272
2013-04-09,471
2013-04-20,235
2013-07-09,54
2013-07-27,373
2013-10-08,755
2013-10-31,161
2014-01-03,420
2014-03-01,1100
2014-03-30,348
2014-06-14,894
2014-07-18,3853
2014-08-25,466
2014-11-27,1411
2014-12-20,167
2015-01-24,1990
2015-03-25,100
2015-06-06,2059
2015-06-22,563
2015-09-18,2075
2015-10-04,545
2015-12-11,1122
2016-01-15,81
2016-03-11,1461
2016-04-29,69
2016-06-08,719
2016-08-28,1765
2016-09-14,30
2016-11-10,1061
2016-12-28,9
2017-02-13,1033
2017-04-29,91
2017-05-24,988
2017-07-14,18
2017-09-01,1065
2017-11-24,1263
2018-01-01,363
2018-02-23,1052
2018-05-03,59
2018-05-11,1088
2018-07-01,622
2018-08-24,1572
2018-10-21,581
2018-11-30,1132
2019-02-13,579
2019-03-29,1623
2019-06-02,596
2019-06-28,1798
2019-08-02,1492
