day,usage
2013-01-01,4956
2013-01-04,7219
2013-03-31,5557
2013-04-12,8715
2013-07-02,994
2013-08-02,14972
2013-09-28,10212
2013-11-23,2360
2014-01-03,24663
2014-02-15,16770
2014-04-21,5581
2014-05-28,31378
2014-08-24,1404
2014-09-01,28784
2014-11-01,19859
2015-01-05,38289
2015-02-14,23401
2015-04-21,37008
2015-06-05,17828
2015-07-02,37322
2015-09-15,6535
2015-10-01,26744
2015-11-30,2256
2016-01-11,25798
2016-03-27,17869
2016-05-01,7368
2016-07-01,26698
2016-08-22,746
2016-09-14,18654
2016-12-06,1382
2016-12-23,17557
2017-03-29,1741
2017-04-06,30280
2017-05-28,11400
2017-08-28,596
2017-09-05,14691
2017-11-24,15956
2017-12-19,1728
2018-02-01,14452
2018-03-25,10458
2018-06-12,2217
2018-07-02,16568
2018-08-19,11260
2018-11-23,17733
2018-11-25,12943
2019-02-01,15619
2019-03-10,11944
2019-05-16,16850
2019-08-01,17222
2019-08-02,644
