day,usage
2013-01-01,1302
2013-01-03,2162
2013-03-09,1665
2013-04-23,2857
2013-07-14,1335
2013-08-05,3116
2013-10-27,4518
2013-11-08,2246
2014-01-02,1629
2014-03-25,328
2014-04-18,4409
2014-05-25,2536
2014-08-24,6319
2014-08-30,2810
2014-11-01,7876
2014-12-04,3188
2015-02-02,13246
2015-04-24,158
2015-05-03,4290
2015-07-14,4823
2015-08-30,6007
2015-10-06,1604
2015-12-31,12518
2016-01-08,3209
2016-03-28,4443
2016-05-27,536
2016-07-23,5874
2016-07-30,2343
2016-09-19,4874
2016-11-18,5414
2017-01-05,167
2017-03-04,4838
2017-04-21,1422
2017-05-27,3475
2017-07-15,443
2017-10-04,4515
2017-11-13,5742
2017-12-09,2823
2018-03-14,457
2018-03-23,3968
2018-06-16,1295
2018-08-02,192746
2018-08-16,3517
2018-11-18,6643
2018-11-27,3459
2019-01-17,3181
2019-04-05,433
2019-04-30,4784
2019-06-20,131
2019-08-02,4293
