day,usage
2013-01-01,3742
2013-01-06,6622
2013-02-26,4162
2013-04-19,488
2013-06-20,10544
2013-08-05,1966
2013-09-15,8679
2013-11-28,300
2014-01-04,12413
2014-03-26,900
2014-03-30,11458
2014-06-20,23904
2014-07-24,47286
2014-09-03,7784
2014-11-09,29200
2014-12-14,100
2015-02-24,61545
2015-04-24,147602
2015-05-07,10656
2015-06-29,78049
2015-09-02,1306
2015-10-18,22039
2015-11-21,481
2016-01-10,30588
2016-03-03,1459
2016-04-23,15161
2016-06-15,1504
2016-09-02,13557
2016-09-19,626
2016-11-12,11174
2016-12-25,7
2017-02-27,16799
2017-04-11,959
2017-06-02,11935
2017-08-07,24908
2017-08-31,920
2017-11-24,219
2018-01-14,53858
2018-01-28,11699
2018-04-14,19426
2018-05-13,1091
2018-06-28,14510
2018-09-02,514
2018-10-05,14966
2018-12-09,361
2019-01-22,16384
2019-04-12,6060
2019-04-26,17918
2019-06-16,11725
2019-08-02,15255
