day,usage
2013-01-01,12971
2013-01-16,18816
2013-03-14,5500
2013-04-12,19960
2013-07-13,5948
2013-07-22,21303
2013-09-14,4746
2013-10-29,26496
2014-01-17,1600
2014-02-08,34063
2014-05-01,2961
2014-05-17,51671
2014-08-18,3474
2014-09-02,79925
2014-11-11,9500
2014-12-31,125251
2015-02-20,6500
2015-03-28,160036
2015-05-22,17027
2015-06-24,110614
2015-08-22,15782
2015-10-03,111885
2015-11-20,14124
2016-02-21,19600
2016-02-28,111194
2016-05-18,6185
2016-06-08,103435
2016-08-19,63378
2016-09-19,8482
2016-11-13,142561
2017-01-14,217
2017-03-04,124347
2017-04-21,16725
2017-05-23,91119
2017-08-05,5573
2017-09-03,105616
2017-12-03,300
2017-12-31,153700
2018-02-19,3200
2018-04-01,111445
2018-05-14,4885
2018-06-27,98323
2018-09-03,5350
2018-10-12,96153
2018-11-28,5900
2019-01-13,121658
2019-03-04,5300
2019-04-30,139389
2019-08-01,98834
2019-08-02,31600
