day,usage
2013-01-01,0
2013-01-10,2
2013-02-21,0
2013-05-07,1
2013-06-01,0
2013-08-18,1
2013-09-09,0
2013-11-03,1
2014-01-16,13
2014-02-07,0
2014-05-01,61
2014-05-18,0
2014-07-24,9
2014-10-12,0
2014-10-29,749
2014-12-03,1
2015-01-24,18
2015-04-09,90
2015-05-05,8
2015-07-09,392
2015-08-11,10
2015-10-10,402
2015-11-27,54
2016-02-17,688
2016-02-29,71
2016-05-15,405
2016-06-07,84
2016-08-28,954
2016-09-14,96
2016-11-24,513
2017-01-22,65
2017-02-25,1435
2017-04-02,163
2017-06-27,659
2017-07-21,2194
2017-10-08,4290
2017-12-06,9164
2017-12-14,1055
2018-02-04,1960
2018-03-20,340
2018-05-14,7769
2018-06-27,542
2018-09-08,1505
2018-11-13,2495
2018-12-07,94
2019-01-15,2038
2019-03-05,659
2019-05-19,3089
2019-06-12,745
2019-08-02,856
