day,usage
2013-01-01,2140
2013-01-14,4274
2013-04-08,138
2013-05-01,4014
2013-07-07,269
2013-08-05,6647
2013-10-27,9916
2013-11-26,709
2013-12-31,7779
2014-03-09,287
2014-04-12,17184
2014-06-30,2049
2014-08-07,16995
2014-08-29,1706
2014-10-31,36351
2014-12-12,7500
2015-02-21,19172
2015-04-04,2764
2015-05-14,16391
2015-06-25,574
2015-08-23,13131
2015-10-06,8589
2015-12-07,30661
2016-01-15,2667
2016-03-06,16498
2016-05-05,1085
2016-06-27,15520
2016-09-11,3287
2016-09-18,13125
2016-12-11,17738
2016-12-25,1166
2017-02-19,12178
2017-05-06,1138
2017-06-12,15697
2017-08-29,2451
2017-09-25,16592
2017-10-20,8000
2017-12-19,15715
2018-01-30,8864
2018-03-31,11232
2018-06-12,13019
2018-07-22,1521
2018-08-19,10206
2018-10-28,12701
2018-12-31,17895
2019-01-14,4300
2019-03-13,11021
2019-04-30,13792
2019-08-01,10621
2019-08-02,477
