day,usage
2013-01-01,624
2013-01-14,1309
2013-03-17,1895
2013-04-13,928
2013-06-08,1401
2013-08-05,2149
2013-10-19,32
2013-10-29,1231
2014-01-18,254
2014-03-17,2011
2014-04-22,106
2014-07-03,4214
2014-07-13,274
2014-10-09,986
2014-10-26,4992
2015-01-14,239
2015-01-26,2173
2015-04-12,3285
2015-06-11,208
2015-06-25,2287
2015-08-30,3211
2015-10-30,88
2015-11-26,1954
2016-01-09,1404
2016-04-03,2156
2016-06-03,77
2016-06-08,1753
2016-07-31,221
2016-10-30,3024
2016-11-05,27
2016-12-31,2737
2017-02-15,1273
2017-04-02,1916
2017-06-25,1058
2017-07-22,2746
2017-09-06,1853
2017-11-25,2937
2018-01-01,4434
2018-01-29,1330
2018-04-01,2437
2018-06-23,861
2018-07-21,5603
2018-08-16,2186
2018-10-14,2872
2018-12-31,3472
2019-02-15,671
2019-03-17,2189
2019-06-06,1682
2019-07-04,3427
2019-08-02,2411
