day,usage
2013-01-01,1438
2013-01-19,5128
2013-03-02,1664
2013-05-25,4829
2013-06-20,92
2013-09-05,12919
2013-09-21,690
2013-12-15,375
2014-01-02,24981
2014-03-19,58622
2014-04-10,1497
2014-06-30,185677
2014-07-12,2023
2014-09-01,194086
2014-10-17,23193
2015-01-18,54305
2015-01-23,19729
2015-04-12,1233
2015-05-03,19685
2015-06-22,222
2015-08-16,107817
2015-10-02,495
2015-11-24,5622
2016-01-08,705
2016-03-31,851
2016-05-27,15143
2016-06-13,1551
2016-09-08,142
2016-10-14,5995
2016-11-05,9750
2016-12-26,3866
2017-03-25,3506
2017-04-25,13123
2017-06-12,21760
2017-07-12,3976
2017-10-04,5843
2017-10-30,2841
2018-01-11,10118
2018-03-13,634
2018-04-25,11266
2018-06-13,575
2018-07-23,10405
2018-08-16,5073
2018-11-18,8983
2019-01-11,14159
2019-01-15,5766
2019-03-20,539
2019-04-25,20043
2019-06-14,6544
2019-08-02,7464
