day,usage
2013-01-01,817
2013-01-04,1059
2013-02-23,728
2013-05-13,1307
2013-07-04,248
2013-08-05,1433
2013-10-21,1726
2013-11-01,665
2013-12-25,1318
2014-02-16,1935
2014-05-14,60
2014-05-25,1631
2014-08-24,2966
2014-09-04,1336
2014-11-12,4080
2014-12-04,1460
2015-02-01,2171
2015-04-29,2750
2015-06-07,788
2015-08-10,2339
2015-08-20,16477
2015-09-30,2515
2015-11-19,4535
2016-02-23,510
2016-03-27,4963
2016-05-30,671
2016-06-08,3006
2016-08-06,2364
2016-09-21,1184
2016-11-11,2903
2017-01-22,300
2017-02-14,2856
2017-05-15,1750
2017-06-08,250
2017-07-13,3304
2017-08-31,783
2017-11-26,531
2017-12-31,3594
2018-02-05,2322
2018-04-28,686
2018-05-10,2862
2018-07-22,917
2018-08-16,2844
2018-11-02,3649
2018-12-31,7398
2019-02-05,11469
2019-03-05,3078
2019-04-30,3862
2019-08-01,3927
2019-08-02,179
