day,usage
2013-01-01,18983
2013-01-19,6500
2013-02-26,23163
2013-04-25,8687
2013-07-19,3807
2013-07-31,33124
2013-10-05,5338
2013-12-02,500
2013-12-30,32564
2014-03-22,34
2014-03-31,36881
2014-06-21,1328
2014-07-22,45862
2014-09-13,9708
2014-10-27,41972
2014-12-31,48631
2015-01-27,4900
2015-03-24,42380
2015-05-21,1317
2015-06-23,32906
2015-08-20,2184
2015-10-04,29007
2015-12-12,18800
2016-02-14,37634
2016-03-25,6892
2016-05-05,33699
2016-06-12,5750
2016-07-26,29814
2016-10-26,5894
2016-11-09,37614
2016-12-23,4000
2017-02-14,30021
2017-04-22,2443
2017-05-23,27490
2017-07-17,7668
2017-08-31,29635
2017-10-30,1300
2017-12-31,30445
2018-02-13,800
2018-03-23,26373
2018-06-26,4993
2018-06-27,27243
2018-08-18,964
2018-10-05,27530
2018-12-31,14500
2019-02-23,2800
2019-03-06,32178
2019-06-10,5054
2019-06-12,36672
2019-08-02,38788
