day,usage
2013-01-01,1400
2013-01-16,66048
2013-03-17,8300
2013-04-29,82278
2013-06-15,2644
2013-08-12,84777
2013-09-09,5324
2013-12-09,112043
2014-01-15,18300
2014-02-24,115178
2014-05-05,5646
2014-05-27,114852
2014-08-13,21052
2014-09-02,136288
2014-11-30,27100
2015-01-05,147371
2015-02-16,26600
2015-03-23,112496
2015-05-12,7402
2015-06-22,87992
2015-09-04,20354
2015-10-05,78215
2015-12-24,1300
2016-01-11,62986
2016-04-01,11345
2016-04-18,58371
2016-07-04,13219
2016-08-02,52371
2016-09-14,66782
2016-11-12,26439
2017-01-17,2700
2017-02-13,22901
2017-04-12,718
2017-05-23,16771
2017-08-03,1045
2017-08-31,15628
2017-12-02,7964
2018-01-13,3455
2018-01-29,11996
2018-04-13,12462
2018-06-10,4043
2018-08-13,155209
2018-08-16,8684
2018-10-28,11434
2018-12-13,14423
2019-01-13,9392
2019-03-21,11509
2019-05-17,1996
2019-06-16,11627
2019-08-02,11220
