day,usage
2013-01-01,7741
2013-02-03,15998
2013-03-01,6436
2013-05-25,19304
2013-06-26,1631
2013-08-05,43564
2013-09-23,1756
2013-10-29,17638
2014-01-13,405
2014-03-19,43142
2014-04-08,3525
2014-05-20,92285
2014-07-12,3286
2014-09-14,83092
2014-10-18,2123
2015-01-06,72530
2015-01-23,9100
2015-03-27,77979
2015-05-07,16907
2015-08-02,42612
2015-08-22,1611
2015-10-25,20346
2015-12-11,1
2016-02-09,33846
2016-03-03,872
2016-05-23,28514
2016-07-25,1411
2016-07-30,12413
2016-09-22,19395
2016-11-24,8677
2017-02-09,39516
2017-02-17,1263
2017-05-13,480
2017-05-24,26017
2017-07-24,747
2017-09-13,12561
2017-12-06,1941
2018-01-01,23940
2018-02-09,34030
2018-03-19,7514
2018-06-24,62918
2018-06-30,10158
2018-09-20,24571
2018-10-06,6637
2018-11-25,26768
2019-02-26,33450
2019-03-05,1382
2019-05-01,17957
2019-07-17,16084
2019-08-02,7524
