day,usage
2013-01-01,2126
2013-02-20,2853
2013-03-31,348991
2013-04-12,3157
2013-07-14,2241
2013-08-05,5040
2013-09-15,1498
2013-10-31,7320
2014-01-02,2747
2014-03-25,500
2014-04-20,565486
2014-05-17,6026
2014-08-23,1849
2014-08-27,8514
2014-11-01,16994
2014-12-05,7871
2015-03-06,10672
2015-04-05,258730
2015-05-03,14276
2015-06-24,914
2015-09-26,1162
2015-10-04,14884
2015-12-11,1489
2016-02-16,698
2016-03-28,97734
2016-04-18,15928
2016-07-22,1570
2016-07-27,16753
2016-10-30,22414
2016-12-02,1900
2016-12-31,31409
2017-03-01,1640
2017-04-16,260873
2017-05-23,18879
2017-07-20,15851
2017-08-31,36869
2017-10-20,2036
2017-12-31,33571
2018-03-08,5100
2018-04-01,204641
2018-05-14,1840
2018-07-01,24742
2018-08-31,66399
2018-10-08,20488
2019-01-11,3400
2019-01-13,29773
2019-04-21,221875
2019-04-24,39302
2019-06-13,5597
2019-08-02,20840
