day,usage
2013-01-01,1713
2013-02-14,1763
2013-03-17,8733
2013-04-13,2669
2013-06-30,9768
2013-07-21,3293
2013-10-27,6666
2013-10-31,3387
2013-12-20,7611
2014-03-16,833
2014-04-18,16783
2014-05-27,632
2014-07-11,39739
2014-09-26,1606
2014-11-09,32172
2014-12-25,10973
2015-01-25,31612
2015-03-24,4307
2015-05-23,41503
2015-06-26,180086
2015-08-11,28723
2015-10-07,5992
2015-12-26,909
2016-01-10,15712
2016-04-04,2988
2016-04-24,18472
2016-06-12,33504
2016-08-04,10551
2016-09-14,18633
2016-12-14,204
2016-12-31,38959
2017-02-17,9608
2017-04-05,4917
2017-06-25,65480
2017-07-22,1759
2017-09-12,39079
2017-11-15,60453
2017-12-09,21285
2018-03-16,1984
2018-03-21,28723
2018-06-24,121483
2018-07-29,7057
2018-09-06,44567
2018-11-09,4279
2018-12-31,54068
2019-02-11,7000
2019-03-17,50628
2019-06-02,109269
2019-06-12,58572
2019-08-02,62134
