day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-05-31,0
2013-07-06,3
2013-09-08,20
2013-10-21,1598
2013-11-14,2418
2014-01-01,826
2014-03-17,3988
2014-04-22,5537
2014-06-11,680
2014-08-02,2489
2014-09-12,48
2014-11-09,2990
2015-01-08,4636
2015-02-04,835
2015-04-22,6193
2015-06-21,1028
2015-08-09,197104
2015-08-15,9
2015-10-15,394941
2015-12-08,700
2016-01-08,347145
2016-04-10,47449
2016-04-18,330612
2016-06-08,39708
2016-07-29,330763
2016-09-25,16867
2016-12-18,28600
2017-01-03,509600
2017-03-23,551404
2017-04-02,2
2017-06-28,640585
2017-07-16,34717
2017-09-02,752515
2017-10-20,0
2017-12-10,1
2018-02-20,2
2018-05-07,0
2018-06-26,586
2018-08-07,972
2018-08-16,0
2018-10-22,801
2018-11-24,0
2019-02-10,412
2019-04-22,1457
2019-04-24,0
2019-07-17,3773
2019-08-02,51
