day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-04-12,0
2013-06-01,0
2013-07-21,0
2013-09-09,0
2013-10-29,0
2013-12-18,0
2014-02-06,0
2014-03-28,0
2014-05-17,0
2014-07-06,0
2014-08-25,0
2014-10-14,0
2014-12-03,0
2015-01-22,0
2015-03-14,0
2015-05-03,0
2015-06-22,0
2015-09-29,0
2015-10-29,1
2015-12-10,3
2016-01-09,0
2016-04-15,12
2016-05-10,22
2016-06-06,0
2016-07-27,9
2016-09-17,0
2016-12-17,1
2017-02-04,56
2017-02-18,7
2017-04-16,222
2017-05-26,25
2017-08-03,12
2017-10-19,378
2017-10-28,53
2018-01-12,1299
2018-01-28,144
2018-04-15,1081
2018-05-11,194
2018-08-07,124
2018-09-11,855
2018-10-08,59
2018-12-01,413
2019-02-12,545
2019-04-16,915
2019-04-25,228
2019-07-23,312
2019-08-02,3
