day,usage
2013-01-01,8181
2013-02-04,20181
2013-02-22,2800
2013-05-18,1226
2013-06-21,26066
2013-08-18,778
2013-09-09,17378
2013-12-11,600
2014-01-27,34820
2014-02-15,2600
2014-04-16,33193
2014-05-23,1385
2014-07-17,38529
2014-09-03,2072
2014-11-11,35685
2014-12-05,339
2015-01-25,34210
2015-03-29,0
2015-05-26,29254
2015-06-26,1186
2015-08-11,25025
2015-10-24,1330
2015-11-29,21402
2016-01-16,500
2016-02-29,18138
2016-04-30,724
2016-06-20,26950
2016-08-09,6833
2016-10-03,15610
2016-11-03,144
2017-02-06,22343
2017-02-20,1290
2017-04-03,14836
2017-06-13,21591
2017-07-14,10172
2017-10-19,3384
2017-11-27,16963
2017-12-14,8109
2018-02-14,12865
2018-03-23,7942
2018-05-19,24064
2018-06-28,8486
2018-09-17,14527
2018-10-24,4089
2018-11-25,10587
2019-01-18,33289
2019-03-04,8720
2019-05-09,1420
2019-06-16,12644
2019-08-02,11001
