day,usage
2013-01-01,2508
2013-02-14,2188
2013-04-04,3864
2013-05-02,5358
2013-06-28,2025
2013-08-21,668
2013-10-17,8709
2013-11-11,1169
2014-02-03,12191
2014-02-17,231
2014-05-13,506
2014-05-18,29173
2014-07-18,3900
2014-09-03,18808
2014-10-16,688
2015-01-19,41681
2015-02-17,300
2015-03-15,13087
2015-05-17,40503
2015-06-23,486
2015-08-14,34772
2015-10-06,398
2015-12-15,15118
2016-01-09,2469
2016-03-30,11201
2016-04-18,934
2016-06-18,9622
2016-08-08,495
2016-09-27,9150
2016-11-06,13
2016-12-31,11132
2017-02-11,1223
2017-05-02,16042
2017-06-23,772
2017-07-14,11363
2017-09-28,650
2017-11-17,18242
2017-12-30,5335
2018-02-06,31956
2018-04-04,5705
2018-05-25,31985
2018-08-01,224892
2018-08-16,13981
2018-11-16,2700
2018-11-26,16756
2019-02-25,556
2019-03-08,20597
2019-05-01,672
2019-07-19,43144
2019-08-02,9441
