day,usage
2013-01-01,57655
2013-02-14,145088
2013-02-21,53178
2013-05-10,103626
2013-06-04,10912
2013-08-07,91025
2013-09-18,6287
2013-11-01,68661
2014-01-29,14000
2014-02-14,202302
2014-04-15,2900
2014-06-06,100780
2014-07-10,3343
2014-08-26,95287
2014-11-11,2900
2014-12-08,96509
2015-02-14,225656
2015-04-02,4255
2015-05-10,139905
2015-06-22,10069
2015-08-30,91082
2015-09-30,3037
2015-11-23,76543
2016-02-02,226784
2016-03-08,1408
2016-05-08,128769
2016-06-16,5094
2016-09-12,125014
2016-09-14,11902
2016-12-17,40
2016-12-31,106973
2017-02-14,221785
2017-04-14,58915
2017-06-03,8578
2017-08-29,3414
2017-09-01,127931
2017-10-22,20727
2018-01-11,281
2018-02-14,185746
2018-03-27,63669
2018-05-13,4563
2018-06-27,89704
2018-08-21,140447
2018-11-13,28165
2018-12-31,150821
2019-01-29,2019
2019-03-08,185800
2019-06-01,20347
2019-08-01,160809
2019-08-02,5675
