day,usage
2013-01-01,5838
2013-01-09,509
2013-03-31,1541
2013-04-15,703
2013-06-25,5292
2013-07-21,1184
2013-10-26,6700
2013-12-01,170989
2013-12-24,782962
2014-02-06,1363
2014-04-18,2138
2014-06-25,4776
2014-08-02,1740
2014-10-11,5140
2014-12-01,211672
2014-12-25,1572647
2015-01-22,2027
2015-05-02,5662
2015-05-05,1588
2015-06-27,858
2015-09-28,1547
2015-11-10,4431
2015-12-25,589102
2016-01-08,3039
2016-03-23,119
2016-05-03,10476
2016-06-06,602
2016-09-10,894
2016-10-29,2625
2016-12-21,90771
2016-12-24,475748
2017-02-11,679
2017-04-04,450
2017-06-23,77
2017-07-25,1029
2017-10-15,1656
2017-12-01,46709
2017-12-24,428076
2018-01-28,767
2018-04-02,492
2018-06-25,906
2018-08-15,99
2018-09-29,1165
2018-11-11,6168
2018-12-25,505570
2019-01-13,2060
2019-03-05,564
2019-04-30,1084
2019-07-25,1410
2019-08-02,31
