day,usage
2013-01-01,0
2013-01-18,9
2013-03-11,0
2013-05-29,0
2013-06-26,75
2013-09-08,42
2013-10-02,3568
2013-11-29,2416
2013-12-31,5865
2014-02-15,3373
2014-04-24,6124
2014-07-01,284
2014-07-11,8254
2014-08-31,4529
2014-11-28,3528
2014-12-31,5940
2015-02-15,3312
2015-04-01,5068
2015-05-03,2742
2015-07-29,603
2015-08-14,4335
2015-10-18,2561
2015-11-21,799
2016-01-18,3660
2016-03-27,2684
2016-05-18,3984
2016-06-19,2680
2016-07-27,3585
2016-09-18,612
2016-11-03,2762
2016-12-25,1482
2017-02-23,2758
2017-04-16,1778
2017-05-26,486
2017-07-14,2757
2017-09-19,80
2017-10-20,2481
2017-12-25,1430
2018-02-09,2672
2018-03-25,1916
2018-05-11,2806
2018-07-15,2047
2018-08-24,3069
2018-10-21,2265
2019-01-01,1840
2019-03-03,440
2019-03-22,4185
2019-04-26,43474
2019-06-12,3314
2019-08-02,4156
