day,usage
2013-01-01,1710
2013-01-13,813
2013-03-11,1444
2013-04-23,4220
2013-06-01,1583
2013-08-12,8431
2013-09-29,102
2013-11-05,2796
2013-12-20,174
2014-03-22,589
2014-04-15,5133
2014-06-05,2323
2014-08-12,10075
2014-09-22,227
2014-11-09,9909
2014-12-20,45
2015-01-25,13396
2015-03-19,400
2015-05-17,13897
2015-07-31,4531
2015-08-13,21705
2015-10-25,265
2015-12-31,17411
2016-01-13,5627
2016-03-19,71
2016-04-21,7047
2016-07-07,13159
2016-08-02,868
2016-10-30,8000
2016-11-18,129
2016-12-31,15896
2017-02-16,5748
2017-05-20,404
2017-07-07,16778
2017-08-09,22418
2017-09-02,5812
2017-11-29,5907
2017-12-31,14976
2018-02-16,705
2018-03-26,6516
2018-06-23,2097
2018-07-07,11147
2018-09-06,5454
2018-10-21,8203
2018-12-31,15790
2019-01-15,6506
2019-04-12,7495
2019-05-09,11503
2019-07-07,18382
2019-08-02,312
