day,usage
2013-01-01,1919
2013-02-16,3404
2013-02-26,1344
2013-04-23,236
2013-07-07,434
2013-08-18,94
2013-10-19,461
2013-11-12,2765
2013-12-28,5329
2014-02-08,7766
2014-04-01,801
2014-06-02,62
2014-07-24,1577
2014-09-20,397
2014-11-24,1159
2014-12-29,4812
2015-03-07,9215
2015-03-21,15077
2015-05-03,676
2015-07-27,1177
2015-09-27,511
2015-11-14,10840
2015-11-30,717
2016-01-24,3163
2016-04-03,31
2016-04-17,394
2016-07-19,125
2016-08-05,432
2016-10-31,426
2016-11-09,920
2017-01-20,4395
2017-02-14,1180
2017-04-19,215
2017-06-10,124
2017-07-17,275
2017-10-01,187
2017-11-26,155
2017-12-10,1103
2018-02-09,2874
2018-03-20,491
2018-05-08,128
2018-08-01,27
2018-09-11,286
2018-11-11,287
2018-12-29,1157
2019-02-17,1390
2019-03-06,576
2019-05-05,973
2019-06-12,163
2019-08-02,317
