day,usage
2013-01-01,607
2013-01-16,1164
2013-04-10,494
2013-04-22,1490
2013-07-05,1014
2013-08-05,2441
2013-09-16,878
2013-11-17,2358
2014-01-02,671
2014-03-19,103
2014-04-02,2666
2014-05-17,548
2014-08-24,3955
2014-08-30,1415
2014-11-09,4276
2014-12-14,161
2015-01-29,2298
2015-04-16,1424
2015-05-24,2803
2015-06-26,1750
2015-08-28,472
2015-10-04,1885
2015-11-27,904
2016-02-23,334
2016-02-27,1576
2016-06-05,2220
2016-07-20,78
2016-09-06,2357
2016-10-02,59
2016-11-13,2223
2017-01-05,64
2017-02-12,1396
2017-04-14,1177
2017-06-07,2780
2017-07-15,1311
2017-10-04,1935
2017-10-27,1148
2017-12-31,1404
2018-02-09,1107
2018-05-05,1316
2018-06-06,3938
2018-08-15,140
2018-08-23,1567
2018-10-18,1274
2019-01-06,100
2019-01-19,1670
2019-04-15,1702
2019-06-07,4908
2019-06-12,2764
2019-08-02,2169
