day,usage
2013-01-01,3537
2013-02-10,8990
2013-02-23,2349
2013-05-09,4542
2013-06-15,2810
2013-08-05,5314
2013-09-19,2912
2013-11-17,11451
2013-12-25,2658
2014-03-17,10513
2014-03-29,5280
2014-06-23,10913
2014-08-02,1272
2014-08-25,10883
2014-11-04,19133
2014-12-06,5814
2015-02-17,9252
2015-04-07,1092
2015-05-14,9972
2015-06-30,3138
2015-08-16,13305
2015-09-30,4855
2015-11-22,4
2016-01-14,9734
2016-04-14,59862
2016-04-17,6623
2016-07-18,33552
2016-07-29,7518
2016-09-22,9329
2016-11-13,12586
2017-01-05,2320
2017-02-27,9578
2017-04-05,1836
2017-06-13,11807
2017-08-25,26252
2017-09-04,7158
2017-11-19,134
2017-12-19,10837
2018-01-29,6240
2018-05-01,12276
2018-06-14,3578
2018-07-31,12461
2018-09-12,420
2018-10-05,11909
2018-11-25,7100
2019-03-02,12443
2019-03-11,7976
2019-06-09,417
2019-07-23,14855
2019-08-02,452
