day,usage
2013-01-01,2386
2013-02-09,4380
2013-02-25,1651
2013-04-20,424
2013-07-14,356
2013-09-08,223
2013-10-26,902
2013-11-12,4040
2014-01-03,7673
2014-02-09,12398
2014-03-28,1412
2014-05-24,701
2014-08-24,1663
2014-09-26,914
2014-10-21,3016
2014-12-30,6875
2015-03-07,36095
2015-03-21,116591
2015-05-03,1103
2015-07-06,4273
2015-09-08,523
2015-10-31,1054
2015-12-30,6772
2016-02-01,1100
2016-02-27,3274
2016-04-19,632
2016-06-23,93
2016-07-28,1033
2016-10-21,256
2016-11-29,3407
2017-01-29,3861
2017-02-14,2166
2017-04-16,300
2017-06-09,27
2017-07-17,783
2017-09-02,27
2017-11-05,81
2017-12-10,2174
2018-02-14,14922
2018-03-19,1259
2018-05-21,23
2018-07-17,768
2018-09-11,135
2018-11-11,641
2019-01-03,2529
2019-01-17,990
2019-03-04,1404
2019-04-23,570
2019-07-29,642
2019-08-02,789
