day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-05-31,0
2013-06-26,81
2013-09-08,126
2013-10-09,693
2013-12-08,159313
2013-12-22,100
2014-02-13,101094
2014-04-12,1739
2014-05-20,15743
2014-08-15,71792
2014-09-21,1561
2014-12-01,116730
2014-12-10,370
2015-01-27,68892
2015-03-14,11180
2015-06-16,14726
2015-08-05,1372
2015-09-14,14455
2015-11-10,7962
2015-12-25,87636
2016-01-09,17209
2016-03-12,5783
2016-04-27,18230
2016-06-18,4539
2016-08-05,2618
2016-11-01,972
2016-11-23,43236
2016-12-25,68569
2017-02-15,10548
2017-04-08,4801
2017-06-21,14226
2017-07-29,5097
2017-10-07,6362
2017-12-08,69418
2018-01-22,100577
2018-01-29,21227
2018-03-21,49173
2018-05-12,4895
2018-07-03,13043
2018-08-19,5502
2018-10-27,2793
2018-12-24,70281
2019-01-17,14900
2019-04-10,37147
2019-04-29,2407
2019-07-06,13720
2019-08-02,8425
