day,usage
2013-01-01,3659
2013-02-20,1800
2013-03-10,9350
2013-05-29,12759
2013-07-03,3995
2013-08-05,14344
2013-10-05,588
2013-10-29,8534
2014-01-02,3630
2014-03-20,13140
2014-05-14,3361
2014-06-01,27818
2014-08-14,2307
2014-09-01,14738
2014-10-31,4000
2015-01-04,12836
2015-02-13,8294
2015-03-16,16603
2015-05-11,33007
2015-06-24,8955
2015-08-30,14712
2015-10-29,3956
2015-11-19,25907
2016-01-08,6844
2016-03-21,2917
2016-05-09,13719
2016-06-06,1502
2016-07-28,9883
2016-09-30,1140
2016-11-04,6847
2017-01-05,164
2017-02-14,10909
2017-04-05,971
2017-07-03,11064
2017-07-16,15095
2017-09-07,4388
2017-10-31,9326
2017-12-18,2728
2018-03-08,3710
2018-04-20,11136
2018-06-08,21913
2018-06-27,7177
2018-09-10,4195
2018-10-31,12816
2018-11-24,3375
2019-02-04,3383
2019-04-17,9513
2019-05-20,3597
2019-07-21,21787
2019-08-02,9037
