day,usage
2013-01-01,358
2013-01-24,200
2013-04-04,829
2013-04-21,333
2013-07-04,1199
2013-07-21,355
2013-10-04,654
2013-10-29,352
2013-12-31,872
2014-03-22,186
2014-04-22,2919
2014-06-17,5596
2014-07-19,21
2014-08-25,854
2014-11-02,204
2014-12-31,1267
2015-02-16,0
2015-04-09,1407
2015-05-13,573
2015-07-04,196
2015-08-15,1813
2015-11-18,101
2015-11-19,1616
2016-01-16,71
2016-03-01,1756
2016-05-24,58
2016-07-24,61
2016-08-15,2658
2016-10-08,103
2016-11-26,1991
2017-01-07,53
2017-03-01,2564
2017-05-21,2818
2017-06-23,116
2017-08-14,3248
2017-09-08,1269
2017-12-01,10640
2017-12-09,1672
2018-02-09,4597
2018-04-09,149
2018-06-23,22967
2018-06-27,93038
2018-08-16,2253
2018-10-20,7402
2018-11-26,31
2019-02-16,7571
2019-03-14,86
2019-05-26,5758
2019-08-01,3192
2019-08-02,102
