day,usage
2013-01-01,660
2013-01-27,1961
2013-03-26,8818
2013-04-13,1174
2013-06-27,33728
2013-07-21,1546
2013-10-12,3536
2013-10-31,686
2014-01-24,2062
2014-03-23,7663
2014-03-28,1512
2014-06-13,84656
2014-07-06,3024
2014-10-12,7319
2014-11-01,261
2015-01-19,6300
2015-01-22,1542
2015-03-22,8074
2015-06-06,10816
2015-06-29,948
2015-09-20,16198
2015-10-01,1078
2015-11-21,5804
2016-02-07,491
2016-04-02,6683
2016-05-09,74
2016-06-27,21824
2016-07-26,2365
2016-10-12,14310
2016-11-08,93
2017-01-29,7353
2017-02-27,1909
2017-05-21,11483
2017-05-24,3222
2017-08-17,17475
2017-08-31,4805
2017-12-01,16214
2017-12-09,4035
2018-02-15,72
2018-03-27,15261
2018-06-15,93619
2018-06-28,12168
2018-09-06,27195
2018-10-05,5615
2018-12-11,11947
2019-02-10,16422
2019-03-19,40488
2019-04-30,8880
2019-06-21,15886
2019-08-02,274
