day,usage
2013-01-01,0
2013-02-04,1
2013-02-21,0
2013-04-12,0
2013-06-01,0
2013-09-08,0
2013-09-23,1
2013-10-29,0
2014-01-10,1
2014-03-16,4
2014-03-29,0
2014-06-29,14
2014-07-07,0
2014-08-29,3
2014-11-19,8
2015-01-11,21
2015-01-25,0
2015-04-10,22
2015-05-05,1
2015-08-06,1
2015-09-17,107
2015-11-16,405
2015-11-23,49
2016-01-12,164
2016-03-29,281
2016-04-21,34
2016-07-20,270
2016-07-26,64
2016-10-06,372
2016-12-13,1019
2016-12-26,130
2017-03-23,478
2017-04-07,3697
2017-05-24,215
2017-08-27,173
2017-10-10,8581
2017-10-20,220
2018-01-06,175
2018-02-10,906
2018-04-14,9040
2018-05-08,361
2018-08-01,482
2018-08-17,232
2018-11-12,184
2019-01-06,2182
2019-01-13,350
2019-03-26,675
2019-04-27,203
2019-07-17,619
2019-08-02,394
