day,usage
2013-01-01,3127
2013-01-03,7457
2013-03-31,3670
2013-05-29,8050
2013-06-02,4576
2013-08-07,8857
2013-09-15,5578
2013-10-31,9897
2013-12-25,5896
2014-03-03,12921
2014-04-28,3136
2014-05-28,14127
2014-07-06,10002
2014-09-21,9410
2014-11-14,3900
2014-12-03,14052
2015-02-27,200
2015-03-23,15809
2015-05-03,9032
2015-06-24,14182
2015-09-23,17422
2015-10-04,8819
2015-12-02,27551
2016-02-13,841
2016-03-02,10569
2016-05-01,1372
2016-06-08,11055
2016-07-27,1594
2016-10-31,12136
2016-12-13,812
2017-01-03,7522
2017-03-24,110
2017-04-05,6941
2017-05-28,4431
2017-08-23,2173
2017-08-31,6139
2017-10-31,8002
2018-01-18,481
2018-01-31,6867
2018-03-25,4249
2018-05-12,7189
2018-07-11,9352
2018-08-26,5132
2018-10-31,8837
2018-12-25,4626
2019-01-13,20173
2019-04-22,254
2019-05-07,12073
2019-06-17,6468
2019-08-02,8195
