day,usage
2013-01-01,849
2013-01-14,1565
2013-02-23,1003
2013-05-25,2358
2013-06-21,1203
2013-08-05,2366
2013-09-27,629
2013-11-28,2193
2013-12-26,871
2014-02-16,2191
2014-03-28,1546
2014-06-30,3563
2014-08-24,4104
2014-08-29,2084
2014-11-02,130
2014-12-24,2751
2015-01-27,4452
2015-03-30,1048
2015-05-05,4124
2015-07-14,622
2015-08-30,4628
2015-09-30,2447
2015-11-23,276
2016-01-24,3536
2016-04-11,7380
2016-05-21,383
2016-06-08,3658
2016-08-02,473
2016-10-10,4012
2016-11-04,70
2017-01-19,4856
2017-03-11,304
2017-04-11,6377
2017-06-21,635
2017-08-04,5626
2017-09-14,3405
2017-11-16,3901
2017-12-23,2753
2018-01-29,5886
2018-03-25,3483
2018-06-18,4039
2018-07-31,7382
2018-08-18,4507
2018-10-19,664
2018-12-03,5401
2019-02-21,1194
2019-04-01,8300
2019-06-06,2516
2019-06-12,7332
2019-08-02,7522
