day,usage
2013-01-01,2765
2013-02-19,642
2013-03-17,4440
2013-04-15,1613
2013-07-20,677
2013-08-03,2288
2013-10-27,3304
2013-11-08,200
2014-01-01,3657
2014-03-17,4803
2014-04-04,2544
2014-06-09,222
2014-07-18,5757
2014-08-30,608
2014-11-09,5922
2014-12-05,2957
2015-03-04,3315
2015-03-25,41666
2015-05-03,5232
2015-07-17,7269
2015-09-27,311
2015-10-11,4092
2015-11-23,0
2016-01-11,3595
2016-04-07,121
2016-04-17,3464
2016-06-23,293
2016-09-06,465
2016-10-31,5361
2016-11-08,956
2016-12-31,4244
2017-02-13,2918
2017-04-05,5105
2017-06-04,1059
2017-08-25,1127
2017-09-02,3504
2017-10-31,6007
2017-12-25,2472
2018-03-04,500
2018-04-27,8896
2018-05-08,3073
2018-07-29,6176
2018-09-16,310
2018-10-24,5819
2018-12-26,2094
2019-01-13,4650
2019-03-17,6147
2019-04-23,3912
2019-06-21,4925
2019-08-02,4234
