day,usage
2013-01-01,1095
2013-01-03,1679
2013-03-17,3737
2013-04-22,7969
2013-06-01,2751
2013-07-23,561
2013-09-22,4236
2013-12-03,10931
2013-12-18,1985
2014-03-20,6124
2014-04-22,12421
2014-06-02,2301
2014-07-17,8232
2014-09-02,10922
2014-10-20,2045
2015-01-04,8228
2015-02-06,3000
2015-04-22,18049
2015-05-16,1020
2015-06-28,8443
2015-08-16,1384
2015-10-04,4837
2015-12-02,157
2016-01-10,3616
2016-03-28,1209
2016-04-20,6455
2016-06-14,302
2016-08-14,5881
2016-10-30,6780
2016-11-03,196
2017-01-05,240
2017-03-21,6765
2017-04-22,11513
2017-06-23,708
2017-07-17,5432
2017-09-24,5767
2017-11-21,6939
2017-12-16,3146
2018-03-09,2700
2018-04-22,11089
2018-05-21,786
2018-06-28,6758
2018-08-18,5171
2018-10-25,1942
2018-11-28,5360
2019-02-08,1211
2019-03-21,11780
2019-06-05,16310
2019-07-19,1817
2019-08-02,8422
