day,usage
2013-01-01,2976
2013-02-04,15019
2013-02-21,4996
2013-05-25,11266
2013-06-21,37430
2013-07-24,1488
2013-09-22,8277
2013-11-17,2600
2014-02-02,24098
2014-02-06,8273
2014-04-16,23750
2014-06-12,91417
2014-07-07,12188
2014-08-25,6969
2014-11-23,26458
2014-12-03,5800
2015-02-01,34433
2015-03-28,2000
2015-05-31,27183
2015-06-23,1963
2015-09-04,101898
2015-09-30,10748
2015-11-22,21331
2016-01-20,5100
2016-03-15,390
2016-05-28,107470
2016-06-07,14708
2016-08-09,31212
2016-09-15,1043
2016-12-02,33883
2016-12-27,4400
2017-02-26,34910
2017-05-18,43299
2017-05-23,7465
2017-08-08,34937
2017-09-08,1060
2017-12-01,43300
2017-12-09,500
2018-02-05,25500
2018-05-02,67784
2018-05-26,108685
2018-06-29,3517
2018-08-30,31531
2018-11-07,800
2018-12-01,57278
2019-01-13,4100
2019-04-16,1024
2019-05-19,63448
2019-06-16,2259
2019-08-02,24524
