day,usage
2013-01-01,2042
2013-01-23,4546
2013-04-08,211
2013-05-08,5671
2013-07-16,174
2013-07-25,65032
2013-09-10,4438
2013-11-29,158
2014-01-26,10730
2014-02-07,2713
2014-04-18,13794
2014-06-09,27436
2014-08-21,31069
2014-09-04,1719
2014-11-09,24347
2014-12-03,6240
2015-02-23,451
2015-03-27,13999
2015-05-16,1745
2015-07-06,23459
2015-08-28,1998
2015-10-04,6788
2015-12-04,423
2016-01-16,6223
2016-03-11,928
2016-05-23,22729
2016-06-17,294
2016-07-29,5466
2016-10-15,908
2016-11-24,6304
2017-01-05,1438
2017-02-18,5238
2017-04-19,3454
2017-05-23,9671
2017-07-22,2240
2017-09-02,7508
2017-10-21,4597
2018-01-14,9098
2018-03-14,146
2018-03-27,7682
2018-05-23,14077
2018-06-28,2301
2018-09-13,14757
2018-10-15,5347
2018-12-31,9290
2019-01-26,3100
2019-03-13,23227
2019-04-26,6570
2019-06-30,272
2019-08-02,7497
