day,usage
2013-01-01,3142
2013-02-20,4708
2013-02-24,2304
2013-04-23,4405
2013-07-07,13831
2013-07-21,3608
2013-10-27,6972
2013-10-31,2591
2014-01-30,537
2014-02-19,6565
2014-05-10,10860
2014-06-14,39698
2014-07-07,6012
2014-09-19,17404
2014-10-18,3928
2015-01-17,6842
2015-02-25,11763
2015-04-14,372
2015-05-23,10270
2015-07-29,652
2015-08-12,5369
2015-11-17,12985
2015-11-19,3275
2016-02-11,1008
2016-04-09,7236
2016-04-17,12412
2016-06-24,36267
2016-07-26,3875
2016-10-23,7909
2016-11-07,4274
2016-12-31,7481
2017-03-22,25032
2017-04-03,5278
2017-05-23,26740
2017-07-19,6316
2017-10-11,1671
2017-10-29,8957
2017-12-21,1676
2018-03-11,10675
2018-04-02,2358
2018-05-19,32101
2018-06-27,7907
2018-08-30,11320
2018-10-09,3194
2018-12-29,16695
2019-02-14,3900
2019-03-29,16848
2019-05-01,5149
2019-07-14,19903
2019-08-02,336
