day,usage
2013-01-01,0
2013-01-02,0
2013-02-21,0
2013-04-12,0
2013-06-01,0
2013-07-21,0
2013-09-09,0
2013-10-29,0
2013-12-18,0
2014-02-06,0
2014-03-28,0
2014-05-17,0
2014-07-06,0
2014-10-13,0
2014-11-20,10
2014-12-03,0
2015-01-28,1
2015-04-09,2
2015-06-18,6
2015-08-10,0
2015-09-28,93
2015-10-25,24100
2015-11-27,4143
2016-02-18,847
2016-03-26,7302
2016-04-21,4468
2016-07-16,1110
2016-07-26,5945
2016-09-21,748
2016-11-06,5106
2016-12-31,8873
2017-03-07,4699
2017-04-20,16810
2017-05-24,5359
2017-07-31,1635
2017-08-31,5723
2017-11-13,7830
2017-12-16,4327
2018-02-11,10392
2018-03-19,4872
2018-05-13,11599
2018-07-23,1745
2018-08-16,6239
2018-11-19,3100
2018-12-14,8434
2019-02-17,10071
2019-04-09,13913
2019-04-24,6035
2019-06-21,8025
2019-08-02,6668
