day,usage
2013-01-01,5095
2013-01-21,27521
2013-02-23,3935
2013-05-27,130233
2013-06-01,6895
2013-07-28,15295
2013-09-11,84816
2013-10-30,6401
2014-02-03,16676
2014-02-15,58216
2014-04-08,4556
2014-06-23,213279
2014-07-09,15628
2014-09-11,47146
2014-11-11,69639
2014-12-03,6154
2015-02-02,19743
2015-04-14,884
2015-06-09,42123
2015-06-25,8043
2015-09-07,12333
2015-10-01,453
2015-12-16,11348
2016-02-09,300
2016-03-01,21578
2016-04-25,585
2016-07-04,303345
2016-07-26,24295
2016-10-19,2522
2016-11-09,164300
2016-12-23,11662
2017-03-23,61615
2017-04-20,5778
2017-07-05,142831
2017-07-13,5368
2017-10-18,1720
2017-10-26,177352
2017-12-17,13100
2018-02-22,66036
2018-04-02,9179
2018-05-28,70062
2018-07-08,6530
2018-08-26,48290
2018-11-07,91479
2018-12-18,200
2019-01-23,41769
2019-03-29,200
2019-05-27,123625
2019-06-20,3472
2019-08-02,54933
