day,usage
2013-01-01,584
2013-02-11,1077
2013-02-24,674
2013-05-22,959
2013-07-11,157
2013-08-14,1041
2013-09-10,766
2013-11-22,1789
2013-12-30,502
2014-03-17,5994
2014-03-30,913
2014-05-17,2673
2014-07-09,1268
2014-09-20,3156
2014-10-25,1652
2015-01-16,298
2015-03-01,8367
2015-03-16,2071
2015-06-09,491
2015-06-24,3318
2015-09-26,312
2015-10-01,2885
2015-11-20,706
2016-02-21,757
2016-03-04,3455
2016-04-24,308
2016-06-21,3236
2016-08-05,743
2016-09-17,3179
2016-11-13,3902
2017-02-09,2800
2017-02-11,4436
2017-04-13,1947
2017-06-10,144
2017-07-17,4061
2017-09-01,2817
2017-11-22,6173
2018-01-10,2700
2018-02-03,4228
2018-04-08,4687
2018-05-18,2535
2018-07-10,1806
2018-09-10,1757
2018-11-22,6278
2018-11-24,4491
2019-02-14,5449
2019-03-17,5693
2019-05-06,3232
2019-06-21,6798
2019-08-02,4559
