day,usage
2013-01-01,1561
2013-01-14,3026
2013-03-24,1628
2013-05-06,255
2013-07-04,9790
2013-08-25,14868
2013-09-23,533
2013-11-28,22
2014-02-02,9848
2014-02-16,1800
2014-04-18,20495
2014-05-30,1154
2014-07-10,27998
2014-08-28,3501
2014-11-11,13249
2014-12-27,200
2015-02-24,11922
2015-04-04,2283
2015-06-10,1983
2015-07-27,25228
2015-08-17,42418
2015-10-06,180
2016-01-04,400
2016-01-21,4981
2016-03-20,0
2016-05-03,5556
2016-07-20,12730
2016-07-27,1071
2016-09-19,4099
2016-11-05,35
2016-12-29,3244
2017-02-18,2167
2017-05-05,932
2017-07-09,13046
2017-08-03,17165
2017-09-06,3383
2017-11-09,1233
2017-12-21,2886
2018-02-10,1969
2018-04-28,2965
2018-06-18,4440
2018-08-01,18311
2018-09-06,3496
2018-10-19,332
2018-12-21,4726
2019-02-07,401
2019-03-27,6297
2019-05-02,4193
2019-08-01,25783
2019-08-02,19649
