day,usage
2013-01-01,288
2013-01-09,1132
2013-02-23,297
2013-05-14,623
2013-07-09,126
2013-08-23,706
2013-09-21,142
2013-10-29,267
2014-01-01,79
2014-02-06,251
2014-04-12,138
2014-06-06,349
2014-08-24,393
2014-08-28,212
2014-11-08,390
2014-12-03,561
2015-02-08,182
2015-04-05,513
2015-05-03,194
2015-07-03,9
2015-08-13,412
2015-10-03,213
2015-12-03,563
2016-02-24,758
2016-02-28,264
2016-05-11,323
2016-06-26,149
2016-09-08,586
2016-09-18,59
2016-11-09,532
2017-01-21,132
2017-03-15,915
2017-04-27,3869
2017-05-23,215
2017-07-25,326
2017-09-03,199
2017-12-03,598
2017-12-11,178
2018-03-14,439
2018-04-15,236
2018-06-16,871
2018-07-08,332
2018-09-12,701
2018-10-14,334
2018-12-03,1278
2019-01-20,439
2019-04-01,1090
2019-05-30,532
2019-07-04,976
2019-08-02,812
