day,usage
2013-01-01,294
2013-01-23,94
2013-03-08,779
2013-04-20,281
2013-07-09,119
2013-07-27,690
2013-10-01,1311
2013-11-01,318
2014-01-20,964
2014-03-08,1665
2014-03-31,51
2014-06-06,1555
2014-07-18,4291
2014-09-02,929
2014-10-17,2262
2015-01-16,3324
2015-01-29,1110
2015-03-14,2581
2015-05-24,1002
2015-07-17,2312
2015-09-14,405
2015-10-16,2401
2015-12-15,300
2016-02-13,1942
2016-03-08,5568
2016-04-18,844
2016-07-09,333
2016-08-28,2044
2016-09-14,59
2016-11-25,1703
2017-01-21,3799
2017-03-08,9208
2017-04-09,30
2017-05-24,1319
2017-07-14,85
2017-09-22,1397
2017-10-31,2099
2018-01-01,439
2018-03-08,6497
2018-03-21,773
2018-05-12,64
2018-07-06,1095
2018-08-27,759
2018-10-19,1584
2018-12-26,258
2019-02-28,532
2019-03-08,6338
2019-05-11,1093
2019-06-28,2713
2019-08-02,2223
