day,usage
2013-01-01,9688
2013-01-12,26913
2013-02-22,3400
2013-05-01,28017
2013-07-07,772
2013-08-29,37891
2013-09-10,1185
2013-12-01,119710
2013-12-23,6914
2014-02-14,35642
2014-04-14,1099
2014-06-25,44178
2014-07-21,424
2014-09-13,62950
2014-11-28,6600
2014-12-25,502800
2015-01-24,24400
2015-03-28,3700
2015-05-25,45185
2015-06-27,7701
2015-08-29,48300
2015-10-09,1009
2015-12-24,485444
2016-01-08,24365
2016-04-01,3954
2016-05-01,25569
2016-07-17,1950
2016-08-01,22552
2016-10-29,839
2016-12-12,98057
2016-12-24,254900
2017-02-18,3872
2017-05-14,57225
2017-06-18,1822
2017-07-19,23468
2017-09-12,59439
2017-12-01,75042
2017-12-11,3911
2018-03-18,20499
2018-04-25,207710
2018-05-10,23768
2018-07-01,141306
2018-08-18,20404
2018-11-22,1300
2018-12-24,271900
2019-01-14,28958
2019-03-25,149400
2019-04-23,9342
2019-07-10,156732
2019-08-02,65840
