day,usage
2013-01-01,34238.130
2013-01-02,9128.125
2013-03-17,24300.142
2013-05-14,5781.129
2013-07-04,30090.135
2013-08-06,2314.124
2013-09-14,17736.126
2013-11-04,8538.131
2013-12-31,39992.127
2014-02-19,1986.117
2014-03-29,21077.125
2014-07-04,68395.178
2014-07-11,8876.124
2014-09-13,25395.134
2014-11-01,1600.119
2014-12-31,52579.134
2015-02-24,2000.127
2015-03-17,33328.147
2015-05-27,2240.129
2015-07-06,34775.134
2015-09-12,1363.131
2015-10-03,23698.129
2015-12-21,1836.123
2016-01-09,19981.127
2016-03-07,1464.126
2016-04-23,22520.130
2016-06-10,765.125
2016-08-06,26034.128
2016-09-15,10625.133
2016-12-22,650.126
2016-12-31,43314.137
2017-02-17,2092.133
2017-04-07,26812.139
2017-07-08,29806.130
2017-07-22,7906.130
2017-09-02,25558.129
2017-11-07,93.131
2017-12-31,40148.137
2018-03-09,2337.129
2018-03-24,23051.130
2018-05-23,5409.130
2018-07-07,33474.127
2018-08-17,5547.126
2018-10-06,31847.129
2018-12-31,42763.139
2019-02-04,60000.128
2019-03-04,16889.127
2019-05-30,677.142
2019-06-28,51879.132
2019-08-02,1075.124
