day,usage
2013-02-04,6735
2013-03-16,2579
2013-07-25,1421
2013-09-04,10074
2013-12-13,16373
2014-01-01,3302
2014-04-12,17140
2014-07-31,313
2014-08-25,38078
2014-10-21,5867
2015-02-09,21059
2015-03-22,40312
2015-06-13,52413
2015-08-04,7251
2015-12-12,275
2016-02-08,32579
2016-03-12,692
2016-06-04,21261
2016-08-29,41875
2016-10-15,7320
2017-02-13,22329
2017-04-05,1859
2017-06-04,20367
2017-08-19,1099
2017-10-14,7527
2017-12-28,33
2018-04-15,26940
2018-05-22,52698
2018-08-05,7828
2018-11-19,5851
2019-01-15,2153
2019-04-03,34276
2019-05-22,49273
2019-08-01,11050
