day,usage
2010-01-01,0
2010-01-02,0
2010-01-19,0
2010-02-06,0
2010-02-24,0
2010-03-13,0
2010-03-31,0
2010-04-18,0
2010-05-05,0
2010-05-23,0
2010-06-10,0
2010-06-27,0
2010-07-15,0
2010-08-02,0
2010-08-19,0
2010-09-06,0
2010-09-24,0
2010-10-28,0
2010-10-29,1
2010-11-16,0
2010-12-03,0
2010-12-21,0
2011-01-08,0
2011-01-25,0
2011-02-12,0
2011-03-02,0
2011-03-19,0
2011-04-06,0
2011-04-24,0
2011-05-11,0
2011-05-29,0
2011-06-16,0
2011-07-20,0
2011-07-27,1
2011-08-08,0
2011-09-11,0
2011-09-14,1
2011-10-15,2
2011-10-17,0
2011-11-10,2
2011-11-22,7
2011-12-10,0
2012-01-13,0
2012-01-29,34
2012-02-02,0
2012-03-06,0
2012-03-18,2
2012-03-26,180
2012-04-21,71
2012-05-03,426
2012-05-19,108
2012-06-12,337
2012-07-03,502
2012-07-08,264
2012-07-27,310
2012-08-18,173
2012-09-16,194
2012-09-20,8870
2012-10-05,1657
2012-10-28,4571
2012-11-09,1652
2012-12-09,1265
2012-12-25,1133
2013-01-03,2386
2013-02-04,6735
2013-02-05,2202
2013-03-06,2363
2013-03-20,5144
2013-03-31,2789
2013-05-01,5285
2013-05-11,2646
2013-05-25,3985
2013-06-15,2821
2013-07-10,4896
2013-07-25,1421
2013-08-05,6023
2013-09-04,10074
2013-09-10,3601
2013-10-08,5392
2013-10-12,3384
2013-11-04,1523
2013-11-17,7665
2013-12-13,16373
2013-12-25,2719
2014-01-12,4659
2014-01-27,9783
2014-02-12,2330
2014-03-09,6549
2014-03-20,9916
2014-04-12,17140
2014-04-26,753
2014-05-20,9581
2014-06-07,21970
2014-06-15,6781
2014-07-03,11084
2014-07-31,313
2014-08-07,10600
2014-08-25,38078
2014-09-11,8385
2014-10-16,10644
2014-10-21,5867
2014-11-09,12177
2014-11-28,5378
2014-12-19,4930
2015-01-01,9279
2015-01-16,6455
2015-02-09,21059
2015-02-19,7189
2015-03-22,40312
2015-03-25,7106
2015-04-22,9510
2015-05-16,1442
2015-05-19,8521
2015-06-13,52413
2015-06-21,7719
2015-07-20,5110
2015-07-31,23582
2015-08-16,6868
2015-09-04,25971
2015-09-17,5484
2015-10-20,5401
2015-11-01,9148
2015-11-17,1134
2015-11-28,6493
2015-12-25,4424
2016-01-03,1146
2016-02-05,6286
2016-02-08,32579
2016-02-23,6879
2016-03-27,200
2016-03-31,9515
2016-04-24,45064
2016-05-05,9245
2016-06-04,21261
2016-06-12,7371
2016-06-27,17156
2016-07-16,2829
2016-08-13,555
2016-08-29,41875
2016-09-08,4096
2016-09-23,9113
2016-10-13,6782
2016-11-03,10469
2016-11-17,5890
2016-12-06,7285
2017-01-05,2963
2017-01-08,7007
2017-02-01,15299
2017-02-13,22329
2017-03-01,1597
2017-03-20,10126
2017-04-05,1859
2017-04-22,9513
2017-05-14,7271
2017-06-04,20367
2017-06-14,7810
2017-07-15,340
2017-07-21,10033
2017-08-19,1099
2017-09-04,15355
2017-09-11,6925
2017-10-05,10036
2017-10-17,6604
2017-11-08,7862
2017-11-24,5439
2017-12-12,6329
2017-12-28,33
2018-01-14,6799
2018-02-16,4334
2018-02-21,7805
2018-03-14,9646
2018-04-07,8119
2018-04-15,26940
2018-04-29,8134
2018-05-22,52698
2018-06-03,8306
2018-07-02,6852
2018-07-18,6086
2018-08-01,13381
2018-08-13,7461
2018-09-04,14921
2018-09-17,7280
2018-10-05,9710
2018-10-23,6473
2018-11-10,8022
2018-11-26,6288
2018-12-16,9172
2019-01-15,2153
2019-01-19,7601
2019-02-22,9892
2019-03-07,11656
2019-03-29,9816
2019-04-03,34276
2019-04-21,11109
2019-05-20,21845
2019-05-22,49273
2019-06-09,9372
2019-07-10,11129
2019-07-14,9246
2019-08-01,11050
