day,usage
2013-03-05,23265
2013-05-18,1378
2013-05-25,30813
2013-09-07,35887
2013-10-17,3567
2014-02-23,80
2014-03-23,18228
2014-06-12,100258
2014-08-05,8133
2014-10-25,39255
2015-01-01,2840
2015-03-22,50173
2015-06-06,70806
2015-08-05,4792
2015-11-21,48932
2016-01-07,6000
2016-04-02,54750
2016-05-31,13939
2016-09-10,36149
2016-11-07,1000
2017-03-08,44312
2017-03-13,2300
2017-06-03,69472
2017-08-09,3128
2017-10-14,27286
2018-02-08,540
2018-04-07,34271
2018-06-19,75836
2018-08-03,14032
2018-10-28,30857
2018-12-25,5368
2019-03-17,28084
2019-07-07,28433
2019-08-01,10249
