day,usage
2010,0
2010,0
2010,0
2010,0
2010,0
2010,0
2010,0
2010,0
2010,1
2010,0
2010,2
2010,0
2010,0
2010,0
2010,1
2010,0
2010,1
2010,0
2010,1
2010,2
2010,0
2011,0
2011,1
2011,0
2011,9
2011,0
2011,7
2011,20
2011,0
2011,6
2011,0
2011,3
2011,9
2011,1
2011,12
2011,2
2011,2
2011,15
2011,790
2011,1620
2011,471
2011,2163
2012,663
2012,3008
2012,1553
2012,6435
2012,2270
2012,2592
2012,7966
2012,3626
2012,11563
2012,3986
2012,25447
2012,3578
2012,35198
2012,6749
2012,5069
2012,12488
2012,15885
2012,6679
2012,11594
2012,11746
2012,3412
2013,14732
2013,19426
2013,7425
2013,23265
2013,8765
2013,19377
2013,10609
2013,1378
2013,30813
2013,9597
2013,26959
2013,10367
2013,1601
2013,28920
2013,1104
2013,7968
2013,3341
2013,6981
2013,440
2013,5811
2013,1621
2014,6512
2014,2503
2014,80
2014,8307
2014,18228
2014,4192
2014,12443
2014,32177
2014,100258
2014,5103
2014,96464
2014,9114
2014,15678
2014,7303
2014,20516
2014,3492
2014,39255
2014,10702
2014,19863
2014,5542
2015,25785
2015,13249
2015,25788
2015,12285
2015,50173
2015,12282
2015,31770
2015,9459
2015,32164
2015,70806
2015,10372
2015,838
2015,21998
2015,27509
2015,13431
2015,33191
2015,1971
2015,24114
2015,48932
2015,8438
2015,28131
2016,6000
2016,28118
2016,14493
2016,3400
2016,30179
2016,54750
2016,16035
2016,39313
2016,13939
2016,51794
2016,55824
2016,9142
2016,28604
2016,8383
2016,36149
2016,16942
2016,33764
2016,1000
2016,34724
2016,2500
2016,18611
2017,29074
2017,6100
2017,31289
2017,2300
2017,31293
2017,16070
2017,31934
2017,14326
2017,69472
2017,14475
2017,23934
2017,12454
2017,28710
2017,5172
2017,25546
2017,42768
2017,14485
2017,28180
2017,14488
2017,24014
2017,7568
2018,22656
2018,540
2018,24180
2018,13365
2018,34271
2018,7200
2018,26257
2018,15075
2018,75836
2018,4486
2018,68056
2018,13793
2018,25997
2018,12614
2018,2101
2018,24925
2018,30857
2018,10000
2018,24752
2018,5368
2019,21232
2019,13371
2019,24387
2019,12309
2019,28084
2019,14398
2019,24684
2019,14852
2019,26802
2019,14026
2019,28433
2019,13329
2019,13329
